Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp,Starting Anneal Field,Number of Temps
110,170000,120000,5000,1.0,0.0,0.1,20.0,1.0,21

Temperature,K,Spatial Spin Correlation
2.2649999999999992,22,-0.000226262180668
2.2649999999999992,23,-0.000228509232274
2.2649999999999992,24,-0.000208533908485
2.2649999999999992,25,-0.000197064295378
2.2649999999999992,26,-0.000216639836979
2.2649999999999992,27,-0.000220940941894
2.2649999999999992,28,-0.000220031092778
2.2649999999999992,29,-0.000186738886462
2.2649999999999992,30,-0.000179322237602
2.2649999999999992,31,-0.00017957037827
2.2649999999999992,32,-0.000247946917949
2.2649999999999992,33,-0.000301958870058
2.2649999999999992,34,-0.000302841147989
2.2649999999999992,35,-0.000317908800785
2.2649999999999992,36,-0.000339055899952
2.2649999999999992,37,-0.000329088916446
2.2649999999999992,38,-0.000337360272052
2.2649999999999992,39,-0.000324374243751
2.2649999999999992,40,-0.00030995451381
2.2649999999999992,41,-0.000305432839412
2.2649999999999992,42,-0.000306907897829
2.2649999999999992,43,-0.000292626023815
2.2649999999999992,44,-0.000317123022002
2.2649999999999992,45,-0.000331956319723
2.2649999999999992,46,-0.00031340091198
2.2649999999999992,47,-0.000347534039448
2.2649999999999992,48,-0.000415552153717
2.2649999999999992,49,-0.000449271713405
2.2649999999999992,50,-0.000431901866632
2.2649999999999992,51,-0.000411761115731
2.2649999999999992,52,-0.000403999827053
2.2649999999999992,53,-0.000415924364719
2.2649999999999992,54,-0.000408135504857
2.269999999999999,1,0.00328874262236
2.269999999999999,2,0.00229748958091
2.269999999999999,3,0.00173654002929
2.269999999999999,4,0.00137363430206
2.269999999999999,5,0.00116776026102
2.269999999999999,6,0.00100114758793
2.269999999999999,7,0.000779737183942
2.269999999999999,8,0.000635994809098
2.269999999999999,9,0.000423186614941
2.269999999999999,10,0.000294194824262
2.269999999999999,11,0.000182559094763
2.269999999999999,12,6.56986256391e-05
2.269999999999999,13,-3.27718628534e-05
2.269999999999999,14,-0.000111308384335
2.269999999999999,15,-0.000145717223657
2.269999999999999,16,-0.000196517132672
2.269999999999999,17,-0.000272944458474
2.269999999999999,18,-0.000286412982519
2.269999999999999,19,-0.000318340415159
2.269999999999999,20,-0.000391224843643
2.269999999999999,21,-0.000409683752238
2.269999999999999,22,-0.000419733449299
2.269999999999999,23,-0.000455024566553
2.269999999999999,24,-0.000467362671999
2.269999999999999,25,-0.00045186766583
2.269999999999999,26,-0.000454059575065
2.269999999999999,27,-0.000467224816072
2.269999999999999,28,-0.000436800013034
