Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp
100,200000,100000,5000,1.0,0.0,0.1,20.0

Temperature,K,Spatial Spin Correlation
2.249999999999999,29,-8.44909090909e-05
2.249999999999999,30,-7.39656565657e-05
2.249999999999999,31,-0.000118208080808
2.249999999999999,32,-0.000128107070707
2.249999999999999,33,-0.000167884848485
2.249999999999999,34,-0.000122470707071
2.249999999999999,35,-0.000113177777778
2.249999999999999,36,-8.38646464646e-05
2.249999999999999,37,-5.97838383838e-05
2.249999999999999,38,-0.000148006060606
2.249999999999999,39,-0.000166915151515
2.249999999999999,40,-0.000117177777778
2.249999999999999,41,-0.000108814141414
2.249999999999999,42,-0.000157905050505
2.249999999999999,43,-0.000148309090909
2.249999999999999,44,-0.000138167676768
2.249999999999999,45,-0.000169985858586
2.249999999999999,46,-0.000155076767677
2.249999999999999,47,-0.000197945454545
2.249999999999999,48,-0.00019737979798
2.249999999999999,49,-0.000231783838384
2.274999999999999,1,0.00252806060606
2.274999999999999,2,0.00153666666667
2.274999999999999,3,0.000975777777778
2.274999999999999,4,0.000658848484848
2.274999999999999,5,0.000458646464646
2.274999999999999,6,0.000306121212121
2.274999999999999,7,0.000218949494949
2.274999999999999,8,0.000130646464646
2.274999999999999,9,6.48282828283e-05
2.274999999999999,10,-1.40808080808e-05
2.274999999999999,11,-8.18181818182e-06
2.274999999999999,12,-2.68484848485e-05
2.274999999999999,13,-3.65454545455e-05
2.274999999999999,14,-3.77777777778e-06
2.274999999999999,15,1.11313131313e-05
2.274999999999999,16,-1.34141414141e-05
2.274999999999999,17,-6.61818181818e-05
2.274999999999999,18,-0.000148787878788
2.274999999999999,19,-0.00018604040404
2.274999999999999,20,-0.00017098989899
2.274999999999999,21,-0.000221414141414
2.274999999999999,22,-0.000264303030303
2.274999999999999,23,-0.000248626262626
2.274999999999999,24,-0.000200222222222
2.274999999999999,25,-0.000220060606061
2.274999999999999,26,-0.000319777777778
2.274999999999999,27,-0.000348363636364
2.274999999999999,28,-0.000311575757576
2.274999999999999,29,-0.000338101010101
2.274999999999999,30,-0.000355474747475
2.274999999999999,31,-0.000365070707071
2.274999999999999,32,-0.000337858585859
2.274999999999999,33,-0.000306909090909
2.274999999999999,34,-0.000339858585859
2.274999999999999,35,-0.00035197979798
2.274999999999999,36,-0.000365111111111
2.274999999999999,37,-0.000322747474747
2.274999999999999,38,-0.000262080808081
2.274999999999999,39,-0.000287858585859
2.274999999999999,40,-0.000251575757576
2.274999999999999,41,-0.000268262626263
2.274999999999999,42,-0.000337757575758
2.274999999999999,43,-0.000344101010101
2.274999999999999,44,-0.000314282828283
2.274999999999999,45,-0.000282484848485
2.274999999999999,46,-0.000271333333333
2.274999999999999,47,-0.000319292929293
2.274999999999999,48,-0.000312
2.274999999999999,49,-0.000288868686869
2.299999999999999,1,0.00551679151515
2.299999999999999,2,0.00420820565657
2.299999999999999,3,0.00340899353535
2.299999999999999,4,0.00276996323232
2.299999999999999,5,0.00234703393939
2.299999999999999,6,0.00196054909091
2.299999999999999,7,0.00164662989899
2.299999999999999,8,0.00134020565657
2.299999999999999,9,0.00110024606061
2.299999999999999,10,0.000868993535354
2.299999999999999,11,0.000743074343434
2.299999999999999,12,0.000638771313131
2.299999999999999,13,0.00051361979798
2.299999999999999,14,0.000302508686869
2.299999999999999,15,0.000163357171717
2.299999999999999,16,2.70743434343e-05
2.299999999999999,17,-6.94105050505e-05
2.299999999999999,18,-8.47034343434e-05
2.299999999999999,19,-0.000112198383838
2.299999999999999,20,-0.000229834747475
2.299999999999999,21,-0.000345632727273
2.299999999999999,22,-0.000462945858586
2.299999999999999,23,-0.000486157979798
2.299999999999999,24,-0.000464683232323
2.299999999999999,25,-0.000462056969697
2.299999999999999,26,-0.000548521616162
2.299999999999999,27,-0.000574703434343
2.299999999999999,28,-0.00066539030303
2.299999999999999,29,-0.000727632727273
2.299999999999999,30,-0.000750016565657
2.299999999999999,31,-0.000869814545455
2.299999999999999,32,-0.000858905454545
2.299999999999999,33,-0.000900945858586
2.299999999999999,34,-0.00100337010101
2.299999999999999,35,-0.00111603676768
2.299999999999999,36,-0.00121040040404
2.299999999999999,37,-0.00127718828283
2.299999999999999,38,-0.0013600569697
2.299999999999999,39,-0.00141922868687
2.299999999999999,40,-0.00141486505051
2.299999999999999,41,-0.00146112767677
2.299999999999999,42,-0.00152124888889
2.299999999999999,43,-0.00160219838384
2.299999999999999,44,-0.00164252161616
2.299999999999999,45,-0.0015919559596
2.299999999999999,46,-0.00155765292929
2.299999999999999,47,-0.00158890545455
2.299999999999999,48,-0.00165629939394
2.299999999999999,49,-0.00162460242424
2.324999999999999,1,0.00388031191919
2.324999999999999,2,0.00275503919192
2.324999999999999,3,0.00204221090909
2.324999999999999,4,0.00161639272727
2.324999999999999,5,0.00131661494949
2.324999999999999,6,0.00109057454545
2.324999999999999,7,0.000922231111111
2.324999999999999,8,0.000824069494949
2.324999999999999,9,0.000709221010101
2.324999999999999,10,0.000514857373737
2.324999999999999,11,0.000417726060606
2.324999999999999,12,0.000342614949495
2.324999999999999,13,0.000293705858586
2.324999999999999,14,0.000200170505051
2.324999999999999,15,0.000124170505051
2.324999999999999,16,2.9221010101e-05
2.324999999999999,17,-1.26981818182e-05
2.324999999999999,18,-7.42739393939e-05
2.324999999999999,19,-0.000139930505051
2.324999999999999,20,-0.000238819393939
2.324999999999999,21,-0.000340819393939
2.324999999999999,22,-0.000342718383838
2.324999999999999,23,-0.000348960808081
2.324999999999999,24,-0.000283364848485
2.324999999999999,25,-0.000265506262626
2.324999999999999,26,-0.000265708282828
2.324999999999999,27,-0.00026389010101
2.324999999999999,28,-0.000292960808081
2.324999999999999,29,-0.000339970909091
2.324999999999999,30,-0.000384233535354
2.324999999999999,31,-0.000445667878788
2.324999999999999,32,-0.000461405252525
2.324999999999999,33,-0.000517304242424
2.324999999999999,34,-0.000541425454545
2.324999999999999,35,-0.000659324444444
2.324999999999999,36,-0.000732758787879
2.324999999999999,37,-0.000775506262626
2.324999999999999,38,-0.000779203232323
2.324999999999999,39,-0.000847607272727
2.324999999999999,40,-0.000914698181818
2.324999999999999,41,-0.000937041616162
2.324999999999999,42,-0.000989223434343
